"","sepal_length","sepal_width","petal_length","petal_width"
"1",0.296296296296296,0.625,0.0975609756097561,0.0588235294117647
"2",0.222222222222222,0.416666666666667,0.0975609756097561,0.0588235294117647
"3",0.148148148148148,0.5,0.0731707317073171,0.0588235294117647
"4",0.111111111111111,0.458333333333333,0.121951219512195,0.0588235294117647
"5",0.259259259259259,0.666666666666667,0.0975609756097561,0.0588235294117647
"6",0.407407407407408,0.791666666666667,0.170731707317073,0.176470588235294
"7",0.111111111111111,0.583333333333333,0.0975609756097561,0.117647058823529
"8",0.259259259259259,0.583333333333333,0.121951219512195,0.0588235294117647
"9",0.0370370370370372,0.375,0.0975609756097561,0.0588235294117647
"10",0.222222222222222,0.458333333333333,0.121951219512195,0
"11",0.407407407407408,0.708333333333333,0.121951219512195,0.0588235294117647
"12",0.185185185185185,0.583333333333333,0.146341463414634,0.0588235294117647
"13",0.185185185185185,0.416666666666667,0.0975609756097561,0
"14",0,0.416666666666667,0.024390243902439,0
"15",0.555555555555555,0.833333333333333,0.048780487804878,0.0588235294117647
"16",0.518518518518519,1,0.121951219512195,0.176470588235294
"17",0.407407407407408,0.791666666666667,0.0731707317073171,0.176470588235294
"18",0.296296296296296,0.625,0.0975609756097561,0.117647058823529
"19",0.518518518518519,0.75,0.170731707317073,0.117647058823529
"20",0.296296296296296,0.75,0.121951219512195,0.117647058823529
"21",0.407407407407408,0.583333333333333,0.170731707317073,0.0588235294117647
"22",0.296296296296296,0.708333333333333,0.121951219512195,0.176470588235294
"23",0.111111111111111,0.666666666666667,0,0.0588235294117647
"24",0.296296296296296,0.541666666666667,0.170731707317073,0.235294117647059
"25",0.185185185185185,0.583333333333333,0.219512195121951,0.0588235294117647
"26",0.259259259259259,0.416666666666667,0.146341463414634,0.0588235294117647
"27",0.259259259259259,0.583333333333333,0.146341463414634,0.176470588235294
"28",0.333333333333333,0.625,0.121951219512195,0.0588235294117647
"29",0.333333333333333,0.583333333333333,0.0975609756097561,0.0588235294117647
"30",0.148148148148148,0.5,0.146341463414634,0.0588235294117647
"31",0.185185185185185,0.458333333333333,0.146341463414634,0.0588235294117647
"32",0.407407407407408,0.583333333333333,0.121951219512195,0.176470588235294
"33",0.333333333333333,0.875,0.121951219512195,0
"34",0.444444444444444,0.916666666666667,0.0975609756097561,0.0588235294117647
"35",0.222222222222222,0.458333333333333,0.121951219512195,0
"36",0.259259259259259,0.5,0.048780487804878,0.0588235294117647
"37",0.444444444444444,0.625,0.0731707317073171,0.0588235294117647
"38",0.222222222222222,0.458333333333333,0.121951219512195,0
"39",0.0370370370370372,0.416666666666667,0.0731707317073171,0.0588235294117647
"40",0.296296296296296,0.583333333333333,0.121951219512195,0.0588235294117647
"41",0.259259259259259,0.625,0.0731707317073171,0.117647058823529
"42",0.0740740740740741,0.125,0.0731707317073171,0.117647058823529
"43",0.0370370370370372,0.5,0.0731707317073171,0.0588235294117647
"44",0.259259259259259,0.625,0.146341463414634,0.294117647058824
"45",0.296296296296296,0.75,0.219512195121951,0.176470588235294
"46",0.185185185185185,0.416666666666667,0.0975609756097561,0.117647058823529
"47",0.296296296296296,0.75,0.146341463414634,0.0588235294117647
"48",0.111111111111111,0.5,0.0975609756097561,0.0588235294117647
"49",0.37037037037037,0.708333333333333,0.121951219512195,0.0588235294117647
"50",0.259259259259259,0.541666666666667,0.0975609756097561,0.0588235294117647
"51",1,0.5,0.902439024390244,0.764705882352941
"52",0.777777777777778,0.5,0.853658536585366,0.823529411764706
"53",0.962962962962963,0.458333333333333,0.951219512195122,0.823529411764706
"54",0.444444444444444,0.125,0.731707317073171,0.705882352941177
"55",0.814814814814815,0.333333333333333,0.878048780487805,0.823529411764706
"56",0.518518518518519,0.333333333333333,0.853658536585366,0.705882352941177
"57",0.740740740740741,0.541666666666667,0.902439024390244,0.882352941176471
"58",0.222222222222222,0.166666666666667,0.560975609756098,0.529411764705882
"59",0.851851851851852,0.375,0.878048780487805,0.705882352941177
"60",0.333333333333333,0.291666666666667,0.707317073170732,0.764705882352941
"61",0.259259259259259,0,0.609756097560976,0.529411764705882
"62",0.592592592592593,0.416666666666667,0.780487804878049,0.823529411764706
"63",0.62962962962963,0.0833333333333334,0.731707317073171,0.529411764705882
"64",0.666666666666667,0.375,0.902439024390244,0.764705882352941
"65",0.481481481481481,0.375,0.634146341463415,0.705882352941177
"66",0.888888888888889,0.458333333333333,0.829268292682927,0.764705882352941
"67",0.481481481481481,0.416666666666667,0.853658536585366,0.823529411764706
"68",0.555555555555555,0.291666666666667,0.75609756097561,0.529411764705882
"69",0.703703703703704,0.0833333333333334,0.853658536585366,0.823529411764706
"70",0.481481481481481,0.208333333333333,0.707317073170732,0.588235294117647
"71",0.592592592592593,0.5,0.926829268292683,1
"72",0.666666666666667,0.333333333333333,0.731707317073171,0.705882352941177
"73",0.740740740740741,0.208333333333333,0.951219512195122,0.823529411764706
"74",0.666666666666667,0.333333333333333,0.902439024390244,0.647058823529412
"75",0.777777777777778,0.375,0.804878048780488,0.705882352941177
"76",0.851851851851852,0.416666666666667,0.829268292682927,0.764705882352941
"77",0.925925925925926,0.333333333333333,0.926829268292683,0.764705882352941
"78",0.888888888888889,0.416666666666667,0.975609756097561,0.941176470588235
"79",0.62962962962963,0.375,0.853658536585366,0.823529411764706
"80",0.518518518518519,0.25,0.609756097560976,0.529411764705882
"81",0.444444444444444,0.166666666666667,0.682926829268293,0.588235294117647
"82",0.444444444444444,0.166666666666667,0.658536585365854,0.529411764705882
"83",0.555555555555555,0.291666666666667,0.707317073170732,0.647058823529412
"84",0.62962962962963,0.291666666666667,1,0.882352941176471
"85",0.407407407407408,0.416666666666667,0.853658536585366,0.823529411764706
"86",0.62962962962963,0.583333333333333,0.853658536585366,0.882352941176471
"87",0.888888888888889,0.458333333333333,0.902439024390244,0.823529411764706
"88",0.740740740740741,0.125,0.829268292682927,0.705882352941177
"89",0.481481481481481,0.416666666666667,0.75609756097561,0.705882352941177
"90",0.444444444444444,0.208333333333333,0.731707317073171,0.705882352941177
"91",0.444444444444444,0.25,0.829268292682927,0.647058823529412
"92",0.666666666666667,0.416666666666667,0.878048780487805,0.764705882352941
"93",0.555555555555555,0.25,0.731707317073171,0.647058823529412
"94",0.259259259259259,0.125,0.560975609756098,0.529411764705882
"95",0.481481481481481,0.291666666666667,0.780487804878049,0.705882352941177
"96",0.518518518518519,0.416666666666667,0.780487804878049,0.647058823529412
"97",0.518518518518519,0.375,0.780487804878049,0.705882352941177
"98",0.703703703703704,0.375,0.804878048780488,0.705882352941177
"99",0.296296296296296,0.208333333333333,0.487804878048781,0.588235294117647
"100",0.518518518518519,0.333333333333333,0.75609756097561,0.705882352941177
